Frame 500 | Energy: 100.00 | RPE: -0.0092 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0053 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0068 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: 0.0024 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0037 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0030 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 100 | Energy: 87.44 | RPE: -0.7398 | Torque: 0.45
Frame 200 | Energy: 100.00 | RPE: -0.0259 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: 0.0018 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0008 | Torque: 0.07
Frame 700 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 999 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: 0.0031 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0001 | Torque: -0.00
Frame 200 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 400 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 600 | Energy: 100.00 | RPE: 0.0002 | Torque: -0.00
Frame 700 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0001 | Torque: -0.00
Frame 200 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 400 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 700 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 800 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 900 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 1000 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0017 | Torque: -0.00
Frame 200 | Energy: 100.00 | RPE: 0.0001 | Torque: -0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 400 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 500 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 600 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
