=== STARTING VISUALIZER ===
Frame 23580 | Cart X: 0.03 | Theta: 0.00
Frame 23640 | Cart X: 0.00 | Theta: 0.00
Frame 23700 | Cart X: -0.03 | Theta: 0.20
Frame 23760 | Cart X: -0.03 | Theta: 0.11
Frame 23820 | Cart X: 0.04 | Theta: -0.02
Frame 23880 | Cart X: -0.17 | Theta: 0.20
Frame 23940 | Cart X: 0.03 | Theta: 0.05
Frame 24000 | Cart X: -0.02 | Theta: 0.13
Frame 24060 | Cart X: -0.14 | Theta: 0.10
Frame 24120 | Cart X: -0.11 | Theta: 0.10
Frame 24180 | Cart X: 0.02 | Theta: -0.03
Frame 24240 | Cart X: -0.05 | Theta: 0.03
Frame 24300 | Cart X: 0.03 | Theta: -0.00
Frame 24360 | Cart X: -0.16 | Theta: 0.15
Frame 24420 | Cart X: 0.03 | Theta: -0.01
Frame 24480 | Cart X: -0.04 | Theta: 0.06
Frame 24540 | Cart X: -0.02 | Theta: 0.05
Frame 24600 | Cart X: 0.03 | Theta: -0.00
Frame 24660 | Cart X: -0.05 | Theta: 0.05
Frame 24720 | Cart X: -0.02 | Theta: -0.02
Frame 24780 | Cart X: -0.08 | Theta: 0.10
Frame 24840 | Cart X: -0.02 | Theta: 0.02
Frame 24900 | Cart X: -0.04 | Theta: -0.02
Frame 24960 | Cart X: 0.04 | Theta: -0.01
Frame 25020 | Cart X: -0.08 | Theta: 0.09
Frame 25080 | Cart X: -0.17 | Theta: 0.18
Frame 25140 | Cart X: -0.07 | Theta: 0.00
Frame 25200 | Cart X: -0.08 | Theta: 0.09
Frame 25260 | Cart X: -0.08 | Theta: 0.14
Frame 25320 | Cart X: 0.04 | Theta: 0.00
Frame 25380 | Cart X: -0.05 | Theta: 0.07
Frame 25440 | Cart X: -0.08 | Theta: 0.10
Frame 25500 | Cart X: 0.03 | Theta: 0.02
Frame 25560 | Cart X: 0.03 | Theta: 0.00
Frame 25620 | Cart X: -0.12 | Theta: 0.19
Frame 25680 | Cart X: -0.06 | Theta: -0.00
Frame 25740 | Cart X: -0.01 | Theta: 0.05
Frame 25800 | Cart X: -0.01 | Theta: 0.15
Frame 25860 | Cart X: -0.04 | Theta: 0.03
Frame 25920 | Cart X: -0.01 | Theta: 0.00
Frame 25980 | Cart X: -0.03 | Theta: 0.01
Frame 26040 | Cart X: -0.14 | Theta: 0.19
Frame 26100 | Cart X: 0.03 | Theta: -0.01
Frame 26160 | Cart X: 0.04 | Theta: -0.02
Frame 26220 | Cart X: -0.03 | Theta: 0.03
Frame 26280 | Cart X: -0.02 | Theta: -0.02
Frame 26340 | Cart X: 0.02 | Theta: -0.03
Frame 26400 | Cart X: -0.07 | Theta: 0.16
Frame 26460 | Cart X: 0.00 | Theta: 0.11
Frame 26520 | Cart X: -0.04 | Theta: -0.02
Frame 26580 | Cart X: -0.13 | Theta: 0.06
Frame 26640 | Cart X: -0.04 | Theta: 0.10
Frame 26700 | Cart X: -0.04 | Theta: -0.03
Frame 26760 | Cart X: 0.04 | Theta: -0.05
Frame 26820 | Cart X: 0.02 | Theta: -0.00
Frame 26880 | Cart X: 0.02 | Theta: 0.01
Frame 26940 | Cart X: -0.10 | Theta: 0.07
Frame 27000 | Cart X: -0.05 | Theta: 0.01
Frame 27060 | Cart X: 0.05 | Theta: -0.02
Frame 27120 | Cart X: -0.05 | Theta: 0.11
Frame 27180 | Cart X: -0.00 | Theta: -0.05
Frame 27240 | Cart X: -0.15 | Theta: 0.20
Frame 27300 | Cart X: -0.05 | Theta: 0.09
Frame 27360 | Cart X: -0.03 | Theta: 0.00
Frame 27420 | Cart X: -0.03 | Theta: -0.03
Frame 27480 | Cart X: -0.02 | Theta: -0.03
Frame 27540 | Cart X: -0.13 | Theta: 0.11
Frame 27600 | Cart X: -0.05 | Theta: 0.03
Frame 27660 | Cart X: 0.02 | Theta: 0.01
Frame 27720 | Cart X: -0.04 | Theta: -0.00
Frame 27780 | Cart X: -0.01 | Theta: 0.11
Frame 27840 | Cart X: -0.01 | Theta: 0.00
Frame 27900 | Cart X: -0.05 | Theta: 0.05
Frame 27960 | Cart X: -0.06 | Theta: 0.00
Frame 28020 | Cart X: -0.15 | Theta: 0.20
Frame 28080 | Cart X: -0.00 | Theta: 0.05
Frame 28140 | Cart X: -0.13 | Theta: 0.16
Frame 28200 | Cart X: -0.10 | Theta: 0.13
Frame 28260 | Cart X: 0.03 | Theta: 0.01
Frame 28320 | Cart X: -0.03 | Theta: 0.04
Frame 28380 | Cart X: -0.14 | Theta: 0.20
Frame 28440 | Cart X: 0.05 | Theta: -0.05
Frame 28500 | Cart X: 0.02 | Theta: -0.03
Frame 28560 | Cart X: -0.02 | Theta: 0.11
Frame 28620 | Cart X: -0.02 | Theta: 0.00
Frame 28680 | Cart X: 0.04 | Theta: -0.04
Frame 28740 | Cart X: 0.02 | Theta: -0.02
Frame 28800 | Cart X: -0.09 | Theta: 0.18
Frame 28860 | Cart X: -0.00 | Theta: -0.03
Frame 28920 | Cart X: -0.01 | Theta: 0.03
Frame 28980 | Cart X: -0.11 | Theta: 0.11
Frame 29040 | Cart X: -0.03 | Theta: -0.02
Frame 29100 | Cart X: -0.05 | Theta: -0.00
Frame 29160 | Cart X: -0.04 | Theta: 0.04
Frame 29220 | Cart X: -0.11 | Theta: 0.14
Frame 29280 | Cart X: -0.01 | Theta: 0.01
Frame 29340 | Cart X: -0.01 | Theta: 0.10
Frame 29400 | Cart X: -0.01 | Theta: 0.00
Frame 29460 | Cart X: 0.01 | Theta: -0.02
Frame 29520 | Cart X: -0.02 | Theta: 0.11
Frame 29580 | Cart X: -0.05 | Theta: -0.00
